,fold,layer_size,momentum_value,activation_value,feature_number,score
477,7,100,0,logistic,48,0.8155555555555556
478,8,100,0,logistic,48,0.8203991130820399
479,9,100,0,logistic,48,0.8422222222222222
480,0,100,0,logistic,49,0.8270509977827051
481,1,100,0,logistic,49,0.8622222222222222
482,2,100,0,logistic,49,0.8137472283813747
483,3,100,0,logistic,49,0.8466666666666667
484,4,100,0,logistic,49,0.8048780487804879
485,5,100,0,logistic,49,0.8244444444444444
486,6,100,0,logistic,49,0.8137472283813747
487,7,100,0,logistic,49,0.8355555555555556
488,8,100,0,logistic,49,0.811529933481153
489,9,100,0,logistic,49,0.8466666666666667
490,0,100,0,logistic,50,0.8093126385809313
491,1,100,0,logistic,50,0.8266666666666667
492,2,100,0,logistic,50,0.8381374722838137
493,3,100,0,logistic,50,0.84
494,4,100,0,logistic,50,0.7937915742793792
495,5,100,0,logistic,50,0.8155555555555556
496,6,100,0,logistic,50,0.8203991130820399
497,7,100,0,logistic,50,0.8355555555555556
498,8,100,0,logistic,50,0.8093126385809313
499,9,100,0,logistic,50,0.8377777777777777
500,0,100,0,logistic,51,0.8159645232815964
501,1,100,0,logistic,51,0.8022222222222222
502,2,100,0,logistic,51,0.8403547671840355
503,3,100,0,logistic,51,0.8333333333333334
504,4,100,0,logistic,51,0.8270509977827051
505,5,100,0,logistic,51,0.8422222222222222
506,6,100,0,logistic,51,0.8270509977827051
507,7,100,0,logistic,51,0.8
508,8,100,0,logistic,51,0.8470066518847007
509,9,100,0,logistic,51,0.7955555555555556
510,0,100,0,logistic,52,0.8381374722838137
511,1,100,0,logistic,52,0.8511111111111112
512,2,100,0,logistic,52,0.8381374722838137
513,3,100,0,logistic,52,0.8044444444444444
514,4,100,0,logistic,52,0.802660753880266
515,5,100,0,logistic,52,0.8355555555555556
516,6,100,0,logistic,52,0.8070953436807096
517,7,100,0,logistic,52,0.8022222222222222
518,8,100,0,logistic,52,0.8226164079822617
519,9,100,0,logistic,52,0.8155555555555556
520,0,100,0,logistic,53,0.8470066518847007
521,1,100,0,logistic,53,0.8022222222222222
522,2,100,0,logistic,53,0.8181818181818182
523,3,100,0,logistic,53,0.8288888888888889
524,4,100,0,logistic,53,0.8159645232815964
525,5,100,0,logistic,53,0.8511111111111112
526,6,100,0,logistic,53,0.811529933481153
527,7,100,0,logistic,53,0.8
528,8,100,0,logistic,53,0.8337028824833703
529,9,100,0,logistic,53,0.8422222222222222
530,0,100,0,logistic,54,0.8492239467849224
531,1,100,0,logistic,54,0.8488888888888889
532,2,100,0,logistic,54,0.8536585365853658
533,3,100,0,logistic,54,0.8244444444444444
534,4,100,0,logistic,54,0.8603104212860311
535,5,100,0,logistic,54,0.82
536,6,100,0,logistic,54,0.8425720620842572
537,7,100,0,logistic,54,0.8088888888888889
538,8,100,0,logistic,54,0.8492239467849224
539,9,100,0,logistic,54,0.8177777777777778
540,0,100,0,logistic,55,0.8381374722838137
541,1,100,0,logistic,55,0.8577777777777778
542,2,100,0,logistic,55,0.8425720620842572
543,3,100,0,logistic,55,0.8088888888888889
544,4,100,0,logistic,55,0.835920177383592
545,5,100,0,logistic,55,0.8244444444444444
546,6,100,0,logistic,55,0.8181818181818182
547,7,100,0,logistic,55,0.8422222222222222
548,8,100,0,logistic,55,0.8381374722838137
549,9,100,0,logistic,55,0.8111111111111111
550,0,100,0,logistic,56,0.8314855875831486
551,1,100,0,logistic,56,0.8444444444444444
552,2,100,0,logistic,56,0.8226164079822617
553,3,100,0,logistic,56,0.82
554,4,100,0,logistic,56,0.8403547671840355
555,5,100,0,logistic,56,0.8377777777777777
556,6,100,0,logistic,56,0.8381374722838137
557,7,100,0,logistic,56,0.8422222222222222
558,8,100,0,logistic,56,0.8181818181818182
559,9,100,0,logistic,56,0.8466666666666667
560,0,100,0,logistic,57,0.8070953436807096
561,1,100,0,logistic,57,0.8488888888888889
562,2,100,0,logistic,57,0.835920177383592
563,3,100,0,logistic,57,0.8355555555555556
564,4,100,0,logistic,57,0.8203991130820399
565,5,100,0,logistic,57,0.8177777777777778
566,6,100,0,logistic,57,0.8292682926829268
567,7,100,0,logistic,57,0.8044444444444444
568,8,100,0,logistic,57,0.8314855875831486
569,9,100,0,logistic,57,0.8355555555555556
570,0,100,0,logistic,58,0.8337028824833703
571,1,100,0,logistic,58,0.8111111111111111
572,2,100,0,logistic,58,0.8403547671840355
573,3,100,0,logistic,58,0.8688888888888889
574,4,100,0,logistic,58,0.8580931263858093
575,5,100,0,logistic,58,0.8355555555555556
576,6,100,0,logistic,58,0.8381374722838137
577,7,100,0,logistic,58,0.8311111111111111
578,8,100,0,logistic,58,0.8270509977827051
579,9,100,0,logistic,58,0.8266666666666667
580,0,100,0,logistic,59,0.8337028824833703
581,1,100,0,logistic,59,0.8444444444444444
582,2,100,0,logistic,59,0.8203991130820399
583,3,100,0,logistic,59,0.8355555555555556
584,4,100,0,logistic,59,0.8248337028824834
585,5,100,0,logistic,59,0.8466666666666667
586,6,100,0,logistic,59,0.8337028824833703
587,7,100,0,logistic,59,0.8666666666666667
588,8,100,0,logistic,59,0.8492239467849224
589,9,100,0,logistic,59,0.8222222222222222
590,0,100,0.9,logistic,1,0.5210643015521065
591,1,100,0.9,logistic,1,0.5022222222222222
592,2,100,0.9,logistic,1,0.5254988913525499
593,3,100,0.9,logistic,1,0.49777777777777776
594,4,100,0.9,logistic,1,0.516629711751663
595,5,100,0.9,logistic,1,0.5066666666666667
596,6,100,0.9,logistic,1,0.5121951219512195
597,7,100,0.9,logistic,1,0.5111111111111111
598,8,100,0.9,logistic,1,0.5055432372505543
599,9,100,0.9,logistic,1,0.5177777777777778
600,0,100,0.9,logistic,2,0.549889135254989
601,1,100,0.9,logistic,2,0.54
602,2,100,0.9,logistic,2,0.549889135254989
603,3,100,0.9,logistic,2,0.5488888888888889
604,4,100,0.9,logistic,2,0.5365853658536586
605,5,100,0.9,logistic,2,0.5533333333333333
606,6,100,0.9,logistic,2,0.5476718403547672
