,fold,layer_size,momentum_value,activation_value,feature_number,score
514,4,100,0,relu,52,0.8314855875831486
515,5,100,0,relu,52,0.8466666666666667
516,6,100,0,relu,52,0.8292682926829268
517,7,100,0,relu,52,0.7955555555555556
518,8,100,0,relu,52,0.811529933481153
519,9,100,0,relu,52,0.8155555555555556
520,0,100,0,relu,53,0.8203991130820399
521,1,100,0,relu,53,0.8244444444444444
522,2,100,0,relu,53,0.8425720620842572
523,3,100,0,relu,53,0.8266666666666667
524,4,100,0,relu,53,0.8270509977827051
525,5,100,0,relu,53,0.8333333333333334
526,6,100,0,relu,53,0.8270509977827051
527,7,100,0,relu,53,0.8222222222222222
528,8,100,0,relu,53,0.8137472283813747
529,9,100,0,relu,53,0.8422222222222222
530,0,100,0,relu,54,0.8048780487804879
531,1,100,0,relu,54,0.8444444444444444
532,2,100,0,relu,54,0.802660753880266
533,3,100,0,relu,54,0.82
534,4,100,0,relu,54,0.844789356984479
535,5,100,0,relu,54,0.8133333333333334
536,6,100,0,relu,54,0.811529933481153
537,7,100,0,relu,54,0.8022222222222222
538,8,100,0,relu,54,0.811529933481153
539,9,100,0,relu,54,0.8466666666666667
540,0,100,0,relu,55,0.8270509977827051
541,1,100,0,relu,55,0.8155555555555556
542,2,100,0,relu,55,0.8048780487804879
543,3,100,0,relu,55,0.8222222222222222
544,4,100,0,relu,55,0.802660753880266
545,5,100,0,relu,55,0.8133333333333334
546,6,100,0,relu,55,0.8203991130820399
547,7,100,0,relu,55,0.8311111111111111
548,8,100,0,relu,55,0.8093126385809313
549,9,100,0,relu,55,0.8155555555555556
550,0,100,0,relu,56,0.8403547671840355
551,1,100,0,relu,56,0.8355555555555556
552,2,100,0,relu,56,0.802660753880266
553,3,100,0,relu,56,0.8066666666666666
554,4,100,0,relu,56,0.8314855875831486
555,5,100,0,relu,56,0.8222222222222222
556,6,100,0,relu,56,0.8159645232815964
557,7,100,0,relu,56,0.8333333333333334
558,8,100,0,relu,56,0.835920177383592
559,9,100,0,relu,56,0.8355555555555556
560,0,100,0,relu,57,0.8536585365853658
561,1,100,0,relu,57,0.8288888888888889
562,2,100,0,relu,57,0.8181818181818182
563,3,100,0,relu,57,0.8466666666666667
564,4,100,0,relu,57,0.8337028824833703
565,5,100,0,relu,57,0.8111111111111111
566,6,100,0,relu,57,0.8248337028824834
567,7,100,0,relu,57,0.8422222222222222
568,8,100,0,relu,57,0.8270509977827051
569,9,100,0,relu,57,0.8244444444444444
570,0,100,0,relu,58,0.8048780487804879
571,1,100,0,relu,58,0.8266666666666667
572,2,100,0,relu,58,0.7960088691796009
573,3,100,0,relu,58,0.8288888888888889
574,4,100,0,relu,58,0.8004434589800443
575,5,100,0,relu,58,0.8088888888888889
576,6,100,0,relu,58,0.8470066518847007
577,7,100,0,relu,58,0.8133333333333334
578,8,100,0,relu,58,0.844789356984479
579,9,100,0,relu,58,0.8222222222222222
580,0,100,0,relu,59,0.8159645232815964
581,1,100,0,relu,59,0.8244444444444444
582,2,100,0,relu,59,0.8137472283813747
583,3,100,0,relu,59,0.7911111111111111
584,4,100,0,relu,59,0.8314855875831486
585,5,100,0,relu,59,0.8177777777777778
586,6,100,0,relu,59,0.835920177383592
587,7,100,0,relu,59,0.8088888888888889
588,8,100,0,relu,59,0.8403547671840355
589,9,100,0,relu,59,0.8177777777777778
590,0,100,0.9,relu,1,0.516629711751663
591,1,100,0.9,relu,1,0.5066666666666667
592,2,100,0.9,relu,1,0.5188470066518847
593,3,100,0.9,relu,1,0.5044444444444445
594,4,100,0.9,relu,1,0.5077605321507761
595,5,100,0.9,relu,1,0.5155555555555555
596,6,100,0.9,relu,1,0.5011086474501109
597,7,100,0.9,relu,1,0.5222222222222223
598,8,100,0.9,relu,1,0.5033259423503326
599,9,100,0.9,relu,1,0.52
600,0,100,0.9,relu,2,0.5365853658536586
601,1,100,0.9,relu,2,0.5533333333333333
602,2,100,0.9,relu,2,0.549889135254989
603,3,100,0.9,relu,2,0.5533333333333333
604,4,100,0.9,relu,2,0.5099778270509978
605,5,100,0.9,relu,2,0.5466666666666666
606,6,100,0.9,relu,2,0.5454545454545454
607,7,100,0.9,relu,2,0.5466666666666666
608,8,100,0.9,relu,2,0.5232815964523282
609,9,100,0.9,relu,2,0.5644444444444444
610,0,100,0.9,relu,3,0.5875831485587583
611,1,100,0.9,relu,3,0.5733333333333334
612,2,100,0.9,relu,3,0.5898004434589801
613,3,100,0.9,relu,3,0.58
614,4,100,0.9,relu,3,0.5964523281596452
615,5,100,0.9,relu,3,0.5622222222222222
616,6,100,0.9,relu,3,0.5764966740576497
